host,visited_pages,/shuttle/countdown/,/shuttle/countdown/countdown.html,/,/shuttle/missions/sts-71/mission-sts-71.html,/software/winvn/winvn.html,/shuttle/missions/sts-71/images/images.html,/shuttle/missions/missions.html,/htbin/cdt_main.pl,/shuttle/countdown/liftoff.html,/shuttle/countdown/tour.html,/shuttle/missions/sts-71/movies/movies.html,/history/apollo/apollo-13/apollo-13.html,/history/history.html,/facilities/lc39a.html,/history/apollo/apollo.html,/ksc.html,/shuttle/missions/sts-67/mission-sts-67.html,/shuttle/technology/sts-newsref/stsref-toc.html,/shuttle/missions/sts-70/mission-sts-70.html,/htbin/wais.pl,/shuttle/countdown/lps/fr.html,/history/apollo/apollo-13/apollo-13-info.html,/history/apollo/apollo-13/,/shuttle/resources/orbiters/atlantis.html,/shuttle/missions/sts-71/news/,/history/apollo/apollo-13/images/,/htbin/cdt_clock.pl,/history/apollo/apollo-11/apollo-11.html
ix-ftw-tx1-21.ix.netcom.com,4,T,F,F,T,F,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F
blv-pm2-ip16.halcyon.com,7,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,T,F,T,F,F,F,F,F,T,F,F,F
202.36.46.52,3,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F
129.59.205.2,2,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
gclab040.ins.gu.edu.au,5,T,F,F,T,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F
palona1.cns.hp.com,12,T,T,T,T,F,T,F,F,T,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F
149.171.160.183,2,T,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
sartre.execpc.com,6,T,T,F,T,F,T,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
rlnport2.cin.dca.com,2,F,F,F,F,F,F,F,F,F,F,F,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F
www-b5.proxy.aol.com,44,T,T,T,T,F,T,T,T,T,F,T,T,F,F,F,T,F,F,T,T,F,T,F,F,F,F,T,F
indy2.indy.net,19,T,F,T,T,F,F,F,F,T,F,F,T,F,F,T,T,F,T,F,F,F,T,F,T,F,F,F,F
149.171.160.182,3,T,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F
